2026-05-16 13:55:00,350 INFO Pipeline starting: 503 companies | dry_run=False | resume=True
2026-05-16 13:55:00,351 INFO [MMM] Already completed, skipping
2026-05-16 13:55:00,351 INFO [AOS] Already completed, skipping
2026-05-16 13:55:00,351 INFO [ABT] Already completed, skipping
2026-05-16 13:55:00,351 INFO [ABBV] Already completed, skipping
2026-05-16 13:55:00,351 INFO [ACN] Already completed, skipping
2026-05-16 13:55:00,351 INFO [ADBE] Already completed, skipping
2026-05-16 13:55:00,351 INFO [AMD] Already completed, skipping
2026-05-16 13:55:00,351 INFO [AES] Already completed, skipping
2026-05-16 13:55:00,351 INFO [AFL] Already completed, skipping
2026-05-16 13:55:00,351 INFO [A] Already completed, skipping
2026-05-16 13:55:00,351 INFO [APD] Already completed, skipping
2026-05-16 13:55:00,351 INFO [ABNB] Already completed, skipping
2026-05-16 13:55:00,351 INFO [AKAM] Already completed, skipping
2026-05-16 13:55:00,351 INFO [ALB] Already completed, skipping
2026-05-16 13:55:00,351 INFO [ARE] Already completed, skipping
2026-05-16 13:55:00,351 INFO [ALGN] Already completed, skipping
2026-05-16 13:55:00,351 INFO [ALLE] Already completed, skipping
2026-05-16 13:55:00,351 INFO [LNT] Already completed, skipping
2026-05-16 13:55:00,351 INFO [ALL] Already completed, skipping
2026-05-16 13:55:00,351 INFO [GOOGL] Already completed, skipping
2026-05-16 13:55:00,351 INFO [GOOG] Already completed, skipping
2026-05-16 13:55:00,351 INFO [MO] Already completed, skipping
2026-05-16 13:55:00,351 INFO [AMZN] Already completed, skipping
2026-05-16 13:55:00,351 INFO [AMCR] Already completed, skipping
2026-05-16 13:55:00,351 INFO [AEE] Already completed, skipping
2026-05-16 13:55:00,352 INFO [AEP] Already completed, skipping
2026-05-16 13:55:00,352 INFO [AXP] Already completed, skipping
2026-05-16 13:55:00,352 INFO [AIG] Already completed, skipping
2026-05-16 13:55:00,352 INFO [AMT] Already completed, skipping
2026-05-16 13:55:00,352 INFO [AWK] Already completed, skipping
